deep_sleep_in_minutes_medio,giorno
111,domenica
72,lunedì
94,martedì
67,mercoledì
69,giovedì
95,venerdì
122,sabato
115,domenica
82,lunedì
73,martedì
91,mercoledì
67,giovedì
95,venerdì
91,sabato
124,domenica
63,martedì
85,mercoledì
40,giovedì
63,venerdì
110,sabato
130,domenica
104,lunedì
84,martedì
83,mercoledì
84,giovedì
68,venerdì
111,sabato
81,lunedì
81,martedì
75,mercoledì
92,giovedì
65,venerdì
148,sabato
86,domenica
89,lunedì
81,martedì
59,giovedì
66,venerdì
99,martedì
94,mercoledì
73,giovedì
80,venerdì
123,sabato
85,domenica
68,lunedì
114,martedì
70,mercoledì
95,giovedì
84,venerdì
89,sabato
99,domenica
67,lunedì
101,martedì
98,mercoledì
64,giovedì
78,venerdì
120,sabato
139,domenica
104,martedì
110,mercoledì
130,sabato
116,domenica
71,lunedì
73,martedì
72,mercoledì
86,giovedì
76,venerdì
104,domenica
75,lunedì
64,martedì
68,mercoledì
93,giovedì
115,venerdì
118,sabato
105,domenica
75,lunedì
74,mercoledì
74,venerdì
147,sabato
84,lunedì
76,martedì
103,mercoledì
81,giovedì
102,venerdì
87,sabato
115,domenica
78,martedì
79,giovedì
65,venerdì
63,sabato
81,lunedì
90,martedì
103,mercoledì
57,giovedì
83,venerdì
136,sabato
163,domenica
88,lunedì
105,martedì
87,mercoledì
80,giovedì
99,venerdì
155,sabato
97,domenica
123,lunedì
87,martedì
86,mercoledì
65,giovedì
77,venerdì
90,sabato
102,domenica
119,lunedì
73,martedì
91,mercoledì
93,giovedì
91,venerdì
118,sabato
140,domenica
106,lunedì
39,martedì
107,mercoledì
122,giovedì
96,venerdì
126,sabato
105,domenica
77,lunedì
83,mercoledì
88,giovedì
96,venerdì
160,sabato
101,domenica
97,lunedì
94,mercoledì
91,giovedì
111,venerdì
134,sabato
122,domenica
104,lunedì
94,martedì
92,mercoledì
105,giovedì
121,venerdì
140,sabato
120,domenica
72,lunedì
76,martedì
74,mercoledì
119,giovedì
114,venerdì
128,sabato
133,domenica
77,lunedì
88,martedì
91,mercoledì
75,giovedì
127,venerdì
100,sabato
130,domenica
94,lunedì
87,martedì
87,mercoledì
107,giovedì
80,venerdì
118,sabato
107,domenica
92,lunedì
104,martedì
101,mercoledì
119,giovedì
93,venerdì
153,sabato
103,domenica
106,lunedì
84,martedì
89,mercoledì
65,giovedì
