data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
20/10/19,08:45:00,82,21,23,38,111,59,0.07468354430379746,domenica,07:28:00,18:20:00,10:52:00,15.1,25.1,0.0
21/10/19,05:29:30,78,21,21,36,72,57,0.07466666666666667,lunedì,07:29:00,18:19:00,10:49:00,17.9,27.4,0.0
22/10/19,05:30:30,77,22,22,33,94,56,0.08255659121171771,martedì,07:30:00,18:17:00,10:46:00,16.9,28.6,0.0
23/10/19,05:30:30,74,15,23,36,67,55,0.07731958762886598,mercoledì,07:32:00,18:16:00,10:44:00,16.7,27.9,0.0
24/10/19,05:31:30,72,17,20,35,69,54,0.09865470852017937,giovedì,07:33:00,18:14:00,10:41:00,15.6,25.2,20.5
25/10/19,05:31:30,71,19,17,35,95,55,0.08674101610904585,venerdì,07:34:00,18:13:00,10:38:00,15.5,25.7,0.0
26/10/19,07:39:30,81,20,19,42,122,57,0.09771309771309772,sabato,07:35:00,18:11:00,10:36:00,16.2,26.9,0.0
27/10/19,08:52:30,75,19,21,35,115,58,0.10241657077100115,domenica,06:36:00,17:10:00,10:33:00,14.1,24.8,0.0
28/10/19,04:49:00,72,18,20,34,82,58,0.1085383502170767,lunedì,06:37:00,17:09:00,10:31:00,13.9,23.8,0.0
29/10/19,04:28:00,80,21,23,36,73,58,0.064,martedì,06:39:00,17:07:00,10:28:00,14.5,22.3,0.0
30/10/19,05:27:00,81,22,22,37,91,58,0.08985879332477535,mercoledì,06:40:00,17:06:00,10:26:00,14.3,23.0,0.0
31/10/19,05:29:00,74,17,20,37,67,58,0.10090556274256145,giovedì,06:41:00,17:05:00,10:23:00,14.6,24.1,17.7
01/11/19,10:02:30,85,18,22,45,95,58,0.08790252393385553,venerdì,06:42:00,17:03:00,10:21:00,15.2,21.3,22.1
02/11/19,08:18:30,84,17,21,46,91,58,0.10430009149130832,sabato,06:44:00,17:02:00,10:18:00,14.4,21.6,12.1
03/11/19,09:17:30,77,19,21,37,124,59,0.11958762886597939,domenica,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
04/11/19,09:17:30,50,10,10,30,124,59,0.11958762886597939,lunedì,06:45:00,17:01:00,10:16:00,16.1,22.1,13.2
05/11/19,05:28:30,65,17,22,26,63,57,0.07891156462585033,martedì,06:47:00,16:59:00,10:11:00,16.1,22.5,5.0
06/11/19,05:29:00,75,17,23,35,85,57,0.06176084099868594,mercoledì,06:48:00,16:57:00,10:09:00,11.6,19.1,4.9
07/11/19,04:25:30,70,17,20,33,40,56,0.0903522205206738,giovedì,06:50:00,16:56:00,10:06:00,10.4,20.6,0.0
08/11/19,04:29:00,69,17,21,31,63,56,0.07003257328990228,venerdì,06:51:00,16:55:00,10:04:00,10.9,16.7,14.1
09/11/19,09:06:30,82,18,19,45,110,57,0.08177777777777778,sabato,06:52:00,16:54:00,10:02:00,9.4,15.4,5.2
10/11/19,08:46:00,82,23,17,42,130,58,0.09354536950420954,domenica,06:53:00,16:53:00,09:59:00,9.0,17.5,5.6
11/11/19,05:29:00,75,22,20,33,104,60,0.0963855421686747,lunedì,06:55:00,16:52:00,09:57:00,11.7,14.5,66.5
12/11/19,05:22:00,79,22,21,36,84,60,0.08788282290279627,martedì,06:56:00,16:51:00,09:55:00,11.6,15.5,7.0
