Data	Alba	Tramonto	Lunghezza di giorno
1aprile 2020, mercoledì	06:53	19:34	12:41
2aprile 2020, giovedì	06:51	19:36	12:44
3aprile 2020, venerdì	06:50	19:37	12:47
4aprile 2020, sabato	06:48	19:38	12:49
5aprile 2020, domenica	06:46	19:39	12:52
6aprile 2020, lunedì	06:45	19:40	12:55
7aprile 2020, martedì	06:43	19:41	12:58
8aprile 2020, mercoledì	06:41	19:42	13:00
9aprile 2020, giovedì	06:40	19:43	13:03
10aprile 2020, venerdì	06:38	19:44	13:06
11aprile 2020, sabato	06:36	19:45	13:09
12aprile 2020, domenica	06:35	19:47	13:11
13aprile 2020, lunedì	06:33	19:48	13:14
14aprile 2020, martedì	06:32	19:49	13:17
15aprile 2020, mercoledì	06:30	19:50	13:19
16aprile 2020, giovedì	06:28	19:51	13:22
17aprile 2020, venerdì	06:27	19:52	13:25
18aprile 2020, sabato	06:25	19:53	13:27
19aprile 2020, domenica	06:24	19:54	13:30
20aprile 2020, lunedì	06:22	19:55	13:33
21aprile 2020, martedì	06:21	19:56	13:35
22aprile 2020, mercoledì	06:19	19:58	13:38
23aprile 2020, giovedì	06:18	19:59	13:40
24aprile 2020, venerdì	06:16	20:00	13:43
25aprile 2020, sabato	06:15	20:01	13:46
26aprile 2020, domenica	06:13	20:02	13:48
27aprile 2020, lunedì	06:12	20:03	13:51
28aprile 2020, martedì	06:11	20:04	13:53
29aprile 2020, mercoledì	06:09	20:05	13:55
30aprile 2020, giovedì	06:08	20:06	13:58
