Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/04/2020;-2,4;4,3
Abbadia S.Salvatore;02/04/2020;-2,7;10,2
Abbadia S.Salvatore;03/04/2020;0,4;11,7
Abbadia S.Salvatore;04/04/2020;4,2;12,7
Abbadia S.Salvatore;05/04/2020;5,1;13
Abbadia S.Salvatore;06/04/2020;6,9;16
Abbadia S.Salvatore;07/04/2020;6,8;16,7
Abbadia S.Salvatore;08/04/2020;6,1;17,5
Abbadia S.Salvatore;09/04/2020;5,2;17,1
Abbadia S.Salvatore;10/04/2020;8,7;18,3
Abbadia S.Salvatore;11/04/2020;10,1;19,2
Abbadia S.Salvatore;12/04/2020;10,2;20,5
Abbadia S.Salvatore;13/04/2020;8,6;17
Abbadia S.Salvatore;14/04/2020;4,8;14,2
Abbadia S.Salvatore;15/04/2020;2,1;12,2
Abbadia S.Salvatore;16/04/2020;5;16,7
Abbadia S.Salvatore;17/04/2020;5,6;19
Abbadia S.Salvatore;18/04/2020;8,2;17,6
Abbadia S.Salvatore;19/04/2020;10,1;18,5
Abbadia S.Salvatore;20/04/2020;9,3;13,2
Abbadia S.Salvatore;21/04/2020;6,6;9,5
Abbadia S.Salvatore;22/04/2020;6,2;8,2
Abbadia S.Salvatore;23/04/2020;6,1;15
Abbadia S.Salvatore;24/04/2020;5,6;18,2
Abbadia S.Salvatore;25/04/2020;7,7;18,7
Abbadia S.Salvatore;26/04/2020;5,1;18,5
Abbadia S.Salvatore;27/04/2020;7,1;17,3
Abbadia S.Salvatore;28/04/2020;6,8;13,2
Abbadia S.Salvatore;29/04/2020;9;16,1
Abbadia S.Salvatore;30/04/2020;6,5;16,2
Abbazia Trisulti;01/04/2020;-0,7;7
Abbazia Trisulti;02/04/2020;-0,1;9,6
Abbazia Trisulti;03/04/2020;2,7;13,3
Abbazia Trisulti;04/04/2020;6,3;12,7
Abbazia Trisulti;05/04/2020;7,3;13,9
Abbazia Trisulti;06/04/2020;8;16,6
Abbazia Trisulti;07/04/2020;7,9;17,7
Abbazia Trisulti;08/04/2020;7,8;16,5
Abbazia Trisulti;09/04/2020;6,8;17,4
Abbazia Trisulti;10/04/2020;7,8;19,3
Abbazia Trisulti;11/04/2020;10,2;20,8
Abbazia Trisulti;12/04/2020;10,7;20,4
Abbazia Trisulti;13/04/2020;8,6;17,8
Abbazia Trisulti;14/04/2020;6,9;11,4
Abbazia Trisulti;15/04/2020;4,1;15,9
Abbazia Trisulti;16/04/2020;5;17,3
Abbazia Trisulti;17/04/2020;6,6;18,9
Abbazia Trisulti;18/04/2020;10,4;20,4
Abbazia Trisulti;19/04/2020;12,4;20,2
Abbazia Trisulti;20/04/2020;10,9;15,2
Abbazia Trisulti;21/04/2020;10,7;15
Abbazia Trisulti;22/04/2020;8,9;14,5
Abbazia Trisulti;23/04/2020;7,7;14,9
Abbazia Trisulti;24/04/2020;7,1;17,2
Abbazia Trisulti;25/04/2020;7,6;17,6
Abbazia Trisulti;26/04/2020;7,1;18,4
Abbazia Trisulti;27/04/2020;7,8;19,9
