Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/12/2019;4,7;10,6
Abbadia S.Salvatore;02/12/2019;8,3;10,7
Abbadia S.Salvatore;03/12/2019;0,8;8,5
Abbadia S.Salvatore;04/12/2019;0,5;7,1
Abbadia S.Salvatore;05/12/2019;3,5;10,2
Abbadia S.Salvatore;06/12/2019;5,6;11,5
Abbadia S.Salvatore;07/12/2019;5,4;11,7
Abbadia S.Salvatore;08/12/2019;4,4;10,1
Abbadia S.Salvatore;09/12/2019;4,3;10,1
Abbadia S.Salvatore;10/12/2019;2,3;7,2
Abbadia S.Salvatore;11/12/2019;-0,5;3,8
Abbadia S.Salvatore;12/12/2019;1,4;4
Abbadia S.Salvatore;13/12/2019;1,5;8,1
Abbadia S.Salvatore;14/12/2019;3,2;10,2
Abbadia S.Salvatore;15/12/2019;5,3;10,1
Abbadia S.Salvatore;16/12/2019;8,2;10,4
Abbadia S.Salvatore;17/12/2019;9,6;14,3
Abbadia S.Salvatore;18/12/2019;8,1;11,6
Abbadia S.Salvatore;19/12/2019;5,9;10,4
Abbadia S.Salvatore;20/12/2019;5;9
Abbadia S.Salvatore;21/12/2019;8,1;11,5
Abbadia S.Salvatore;22/12/2019;5,9;11
Abbadia S.Salvatore;23/12/2019;5,8;9,7
Abbadia S.Salvatore;24/12/2019;4,8;11,1
Abbadia S.Salvatore;25/12/2019;4,5;13,4
Abbadia S.Salvatore;26/12/2019;3,6;10,4
Abbadia S.Salvatore;27/12/2019;2,3;8,8
Abbadia S.Salvatore;28/12/2019;-0,6;4,5
Abbadia S.Salvatore;29/12/2019;-1,3;2,6
Abbadia S.Salvatore;30/12/2019;-1,8;2
Abbadia S.Salvatore;31/12/2019;-0,4;8,8
Abbazia Trisulti;01/12/2019;5,2;11,1
Abbazia Trisulti;02/12/2019;8,3;11
Abbazia Trisulti;03/12/2019;7,4;12,5
Abbazia Trisulti;04/12/2019;2,1;11,4
Abbazia Trisulti;05/12/2019;4,4;12,6
Abbazia Trisulti;06/12/2019;7,4;13,4
Abbazia Trisulti;07/12/2019;7;12,3
Abbazia Trisulti;08/12/2019;5,8;12,7
Abbazia Trisulti;09/12/2019;4,2;9,9
Abbazia Trisulti;10/12/2019;3,7;9,3
Abbazia Trisulti;11/12/2019;2,8;9
Abbazia Trisulti;12/12/2019;2;7,2
Abbazia Trisulti;13/12/2019;1,3;8
Abbazia Trisulti;14/12/2019;1,9;13,2
Abbazia Trisulti;15/12/2019;6;12,7
Abbazia Trisulti;16/12/2019;6,6;13,2
Abbazia Trisulti;17/12/2019;8,6;14,6
Abbazia Trisulti;18/12/2019;9,2;13,2
Abbazia Trisulti;19/12/2019;5,9;12,8
Abbazia Trisulti;20/12/2019;5;10,2
Abbazia Trisulti;21/12/2019;8,1;11,1
Abbazia Trisulti;22/12/2019;5,9;11,1
Abbazia Trisulti;23/12/2019;4,7;10,5
Abbazia Trisulti;24/12/2019;5,4;12,4
Abbazia Trisulti;25/12/2019;4,1;11,9
Abbazia Trisulti;26/12/2019;4,1;10,9
Abbazia Trisulti;27/12/2019;3,2;9,4
Abbazia Trisulti;28/12/2019;0,5;6,8
Abbazia Trisulti;29/12/2019;0,5;4,3
Abbazia Trisulti;30/12/2019;0,9;4,4
Abbazia Trisulti;31/12/2019;-0,4;6,9
Acquapendente;01/12/2019;1;13,9
Acquapendente;02/12/2019;10,5;14
Acquapendente;03/12/2019;4,1;16,2
