Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/02/2020;6,3;9,5
Abbadia S.Salvatore;02/02/2020;6,3;12,4
Abbadia S.Salvatore;03/02/2020;7,5;13,4
Abbadia S.Salvatore;04/02/2020;1,6;13,9
Abbadia S.Salvatore;05/02/2020;0,9;6,5
Abbadia S.Salvatore;06/02/2020;-1;5,2
Abbadia S.Salvatore;07/02/2020;0,3;9,9
Abbadia S.Salvatore;08/02/2020;1,1;10,1
Abbadia S.Salvatore;09/02/2020;0,4;8,5
Abbadia S.Salvatore;10/02/2020;6,2;11,5
Abbadia S.Salvatore;11/02/2020;6;12,1
Abbadia S.Salvatore;12/02/2020;3,5;12,2
Abbadia S.Salvatore;13/02/2020;2,5;11,3
Abbadia S.Salvatore;14/02/2020;5,5;11,4
Abbadia S.Salvatore;15/02/2020;5;11,6
Abbadia S.Salvatore;16/02/2020;4,2;12,8
Abbadia S.Salvatore;17/02/2020;3;12,3
Abbadia S.Salvatore;18/02/2020;2,3;12,1
Abbadia S.Salvatore;19/02/2020;3,4;8,5
Abbadia S.Salvatore;20/02/2020;2,3;9,3
Abbadia S.Salvatore;21/02/2020;2,6;11,4
Abbadia S.Salvatore;22/02/2020;3,5;13,4
Abbadia S.Salvatore;23/02/2020;3,4;11,7
Abbadia S.Salvatore;24/02/2020;3,2;14,6
Abbadia S.Salvatore;25/02/2020;4,3;10,4
Abbadia S.Salvatore;26/02/2020;-1,2;8,4
Abbadia S.Salvatore;27/02/2020;0,7;8,4
Abbadia S.Salvatore;28/02/2020;2;8,5
Abbadia S.Salvatore;29/02/2020;1,8;9,8
Abbazia Trisulti;01/02/2020;6,9;10
Abbazia Trisulti;02/02/2020;7,2;11,7
Abbazia Trisulti;03/02/2020;5,9;13,7
Abbazia Trisulti;04/02/2020;1;13,3
Abbazia Trisulti;05/02/2020;-0,7;5,7
Abbazia Trisulti;06/02/2020;-0,2;5,8
Abbazia Trisulti;07/02/2020;0,6;9,1
Abbazia Trisulti;08/02/2020;3,1;10,8
Abbazia Trisulti;09/02/2020;3,1;9,6
Abbazia Trisulti;10/02/2020;4,4;8,3
