Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/01/2020;5,3;13,2
Abbadia S.Salvatore;02/01/2020;4,1;12,2
Abbadia S.Salvatore;03/01/2020;3,6;10,7
Abbadia S.Salvatore;04/01/2020;4,2;8
Abbadia S.Salvatore;05/01/2020;2,1;8,4
Abbadia S.Salvatore;06/01/2020;0;6,8
Abbadia S.Salvatore;07/01/2020;2,5;9,2
Abbadia S.Salvatore;08/01/2020;1,4;8,9
Abbadia S.Salvatore;09/01/2020;1,1;9,9
Abbadia S.Salvatore;10/01/2020;0,3;7,7
Abbadia S.Salvatore;11/01/2020;2,7;7,9
Abbadia S.Salvatore;12/01/2020;0,4;7,7
Abbadia S.Salvatore;13/01/2020;0,1;7,3
Abbadia S.Salvatore;14/01/2020;-0,9;6,7
Abbadia S.Salvatore;15/01/2020;1,8;8,5
Abbadia S.Salvatore;16/01/2020;1,3;8,4
Abbadia S.Salvatore;17/01/2020;1,5;7,9
Abbadia S.Salvatore;18/01/2020;2,7;5,8
Abbadia S.Salvatore;19/01/2020;1,4;4,9
Abbadia S.Salvatore;20/01/2020;0,4;2,9
Abbadia S.Salvatore;21/01/2020;-0,1;7,1
Abbadia S.Salvatore;22/01/2020;3,5;10,3
Abbadia S.Salvatore;23/01/2020;3,3;10,4
Abbadia S.Salvatore;24/01/2020;5,1;8,8
Abbadia S.Salvatore;25/01/2020;5,5;8,2
Abbadia S.Salvatore;26/01/2020;1,8;8,3
Abbadia S.Salvatore;27/01/2020;2,8;9,6
Abbadia S.Salvatore;28/01/2020;5,7;9,4
Abbadia S.Salvatore;29/01/2020;4;8,4
Abbadia S.Salvatore;30/01/2020;2,2;10,8
Abbadia S.Salvatore;31/01/2020;5,4;9
Abbazia Trisulti;01/01/2020;2,6;12,1
Abbazia Trisulti;02/01/2020;4,3;10,9
Abbazia Trisulti;03/01/2020;4,2;12,4
Abbazia Trisulti;04/01/2020;3,5;9,4
Abbazia Trisulti;05/01/2020;3;8,1
Abbazia Trisulti;06/01/2020;0,6;7,3
Abbazia Trisulti;07/01/2020;0,6;8,1
Abbazia Trisulti;08/01/2020;3,1;9,8
Abbazia Trisulti;09/01/2020;2,2;9,6
Abbazia Trisulti;10/01/2020;1,7;10,8
Abbazia Trisulti;11/01/2020;3;10
Abbazia Trisulti;12/01/2020;2,8;9,5
Abbazia Trisulti;13/01/2020;1,9;8,7
Abbazia Trisulti;14/01/2020;2,7;9,5
Abbazia Trisulti;15/01/2020;2,3;9,8
Abbazia Trisulti;16/01/2020;1,4;9,6
Abbazia Trisulti;17/01/2020;1,8;8,6
Abbazia Trisulti;18/01/2020;2,2;5,3
Abbazia Trisulti;19/01/2020;1,2;7,7
Abbazia Trisulti;20/01/2020;3,2;5,3
Abbazia Trisulti;21/01/2020;2,5;10,3
Abbazia Trisulti;22/01/2020;4,2;10,7
Abbazia Trisulti;23/01/2020;4,2;12,2
Abbazia Trisulti;24/01/2020;3,6;9,5
Abbazia Trisulti;25/01/2020;5,6;7,5
Abbazia Trisulti;26/01/2020;3,9;6,9
Abbazia Trisulti;27/01/2020;3,7;10,5
Abbazia Trisulti;28/01/2020;5,2;7,5
Abbazia Trisulti;29/01/2020;3,7;10,4
Abbazia Trisulti;30/01/2020;3,4;11,4
Abbazia Trisulti;31/01/2020;3,7;8,3
Acquapendente;01/01/2020;-2,3;23
Acquapendente;02/01/2020;-3,3;19,9
Acquapendente;03/01/2020;-1,7;20,5
Acquapendente;04/01/2020;0,3;16
Acquapendente;05/01/2020;-0,4;18,7
Acquapendente;06/01/2020;-1,1;12,7
Acquapendente;07/01/2020;-4,2;13,7
Acquapendente;08/01/2020;-3,3;16,4
Acquapendente;09/01/2020;-5,5;22,9
Acquapendente;10/01/2020;-3;14,6
Acquapendente;11/01/2020;-3,2;19,4
Acquapendente;12/01/2020;-3;18,5
Acquapendente;13/01/2020;-5,9;18,8
Acquapendente;14/01/2020;-5;16,6
Acquapendente;15/01/2020;-1,3;15,2
Acquapendente;16/01/2020;-4;19,6
Acquapendente;17/01/2020;-3,5;17
Acquapendente;18/01/2020;6,2;10,1
Acquapendente;19/01/2020;3;13
Acquapendente;20/01/2020;4,2;9,7
Acquapendente;21/01/2020;0,9;12,6
Acquapendente;22/01/2020;-1,8;19,5
Acquapendente;23/01/2020;-2,4;16,8
Acquapendente;24/01/2020;-3;13,5
Acquapendente;25/01/2020;7;12,6
Acquapendente;26/01/2020;2,1;21,1
Acquapendente;27/01/2020;0,4;19,1
Acquapendente;28/01/2020;7,4;12,5
Acquapendente;29/01/2020;1,5;16,1
Acquapendente;30/01/2020;-1,1;19,9
Acquapendente;31/01/2020;9,4;10,4
Allumiere;01/01/2020;4,8;15,1
Allumiere;02/01/2020;5,9;13,8
Allumiere;03/01/2020;5,6;11,4
Allumiere;04/01/2020;6,3;11,1
Allumiere;05/01/2020;2,3;11,7
Allumiere;06/01/2020;2;7,2
Allumiere;07/01/2020;2,7;11,9
Allumiere;08/01/2020;3,5;11,9
Allumiere;09/01/2020;4,9;10,5
Allumiere;10/01/2020;3,8;11,1
Allumiere;11/01/2020;4,8;10,6
Allumiere;12/01/2020;4,1;12
Allumiere;13/01/2020;3,1;10,6
Allumiere;14/01/2020;4,1;11,8
Allumiere;15/01/2020;4;12
Allumiere;16/01/2020;4,6;10,7
Allumiere;17/01/2020;5,1;11
Allumiere;18/01/2020;5,8;8,3
Allumiere;19/01/2020;2,7;9,7
Allumiere;20/01/2020;4;7,2
Allumiere;21/01/2020;2,5;12,1
Allumiere;22/01/2020;6,1;14,8
Allumiere;23/01/2020;4,5;13,1
Allumiere;24/01/2020;5;8,6
Allumiere;25/01/2020;7,4;10,6
Allumiere;26/01/2020;7;11,4
Allumiere;27/01/2020;5,4;12,5
Allumiere;28/01/2020;8,5;10,1
Allumiere;29/01/2020;6,4;12,8
Allumiere;30/01/2020;5,5;14
Allumiere;31/01/2020;8,1;9,7
Amatrice;01/01/2020;-4,5;13,1
Amatrice;02/01/2020;-5,7;11,8
