Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/03/2020;5,7;8,4
Abbadia S.Salvatore;02/03/2020;6,0;8,6
Abbadia S.Salvatore;03/03/2020;1,6;8,1
Abbadia S.Salvatore;04/03/2020;1,6;8,1
Abbadia S.Salvatore;05/03/2020;1,6;10,2
Abbadia S.Salvatore;06/03/2020;2,8;11,8
Abbadia S.Salvatore;07/03/2020;1,3;6,7
Abbadia S.Salvatore;08/03/2020;1,3;7,7
Abbadia S.Salvatore;09/03/2020;1,4;9,8
Abbadia S.Salvatore;10/03/2020;2,6;10,6
Abbadia S.Salvatore;11/03/2020;4,3;15,5
Abbadia S.Salvatore;12/03/2020;4,1;12,0
Abbadia S.Salvatore;13/03/2020;4,2;11,5
Abbadia S.Salvatore;14/03/2020;6,0;11,5
Abbadia S.Salvatore;15/03/2020;2,0;9,5
Abbadia S.Salvatore;16/03/2020;2,8;14,2
Abbadia S.Salvatore;17/03/2020;4,8;14,2
Abbadia S.Salvatore;18/03/2020;6,8;13,5
Abbadia S.Salvatore;19/03/2020;5,7;17,0
Abbadia S.Salvatore;20/03/2020;6,6;16,2
Abbadia S.Salvatore;21/03/2020;5,5;15,3
Abbadia S.Salvatore;22/03/2020;2,2;13,0
Abbadia S.Salvatore;23/03/2020;-3,3;1,9
Abbadia S.Salvatore;24/03/2020;-3,6;1,2
Abbadia S.Salvatore;25/03/2020;-3,5;1,7
Abbadia S.Salvatore;26/03/2020;-1,8;2,6
Abbadia S.Salvatore;27/03/2020;2,2;6,3
Abbadia S.Salvatore;28/03/2020;4,1;11,7
Abbadia S.Salvatore;29/03/2020;4,1;13,6
Abbadia S.Salvatore;30/03/2020;4,6;13,2
Abbadia S.Salvatore;31/03/2020;-1,8;4,9
Abbazia Trisulti;01/03/2020;4,1;9,3
Abbazia Trisulti;02/03/2020;5,2;9,6
Abbazia Trisulti;03/03/2020;1,8;6,9
Abbazia Trisulti;04/03/2020;1,2;9,9
Abbazia Trisulti;05/03/2020;1,9;10,8
Abbazia Trisulti;06/03/2020;3,4;9,6
Abbazia Trisulti;07/03/2020;2,4;10,6
Abbazia Trisulti;08/03/2020;2,0;8,9
Abbazia Trisulti;09/03/2020;1,2;9,6
Abbazia Trisulti;10/03/2020;5,3;11,8
Abbazia Trisulti;11/03/2020;4,6;15,6
Abbazia Trisulti;12/03/2020;7,4;17,0
Abbazia Trisulti;13/03/2020;6,9;15,1
Abbazia Trisulti;14/03/2020;6,2;13,0
Abbazia Trisulti;15/03/2020;6,0;13,0
Abbazia Trisulti;16/03/2020;3,3;15,0
Abbazia Trisulti;17/03/2020;6,2;14,3
Abbazia Trisulti;18/03/2020;6,0;16,2
Abbazia Trisulti;19/03/2020;7,6;17,3
Abbazia Trisulti;20/03/2020;7,4;16,7
Abbazia Trisulti;21/03/2020;7,1;15,2
Abbazia Trisulti;22/03/2020;6,6;14,0
Abbazia Trisulti;23/03/2020;-1,9;8,2
Abbazia Trisulti;24/03/2020;-2,4;5,1
Abbazia Trisulti;25/03/2020;-1,6;5,1
Abbazia Trisulti;26/03/2020;0,8;7,4
Abbazia Trisulti;27/03/2020;5,0;10,2
Abbazia Trisulti;28/03/2020;4,3;10,3
Abbazia Trisulti;29/03/2020;4,0;13,1
Abbazia Trisulti;30/03/2020;5,5;12,3
Abbazia Trisulti;31/03/2020;1,2;10,1
Acquapendente;01/03/2020;7,2;12,9
Acquapendente;02/03/2020;7,6;11,6
Acquapendente;03/03/2020;4,2;13,5
Acquapendente;04/03/2020;-0,6;18,3
Acquapendente;05/03/2020;-1,7;14,9
Acquapendente;06/03/2020;2,0;17,9
Acquapendente;07/03/2020;0,7;13,6
Acquapendente;08/03/2020;-1,2;16,8
Acquapendente;09/03/2020;-1,9;17,9
