Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/11/2019;9,3;13,8
Abbadia S.Salvatore;02/11/2019;10,0;13,0
Abbadia S.Salvatore;03/11/2019;10,1;14,1
Abbadia S.Salvatore;04/11/2019;8,9;14,5
Abbadia S.Salvatore;05/11/2019;9,1;13,6
Abbadia S.Salvatore;06/11/2019;5,2;10,5
Abbadia S.Salvatore;07/11/2019;4,6;11,6
Abbadia S.Salvatore;08/11/2019;6,7;10,2
Abbadia S.Salvatore;09/11/2019;2,3;11,2
Abbadia S.Salvatore;10/11/2019;4,2;10,5
Abbadia S.Salvatore;11/11/2019;5,9;9,5
Abbadia S.Salvatore;12/11/2019;6,5;10,7
Abbadia S.Salvatore;13/11/2019;4,8;11,6
Abbadia S.Salvatore;14/11/2019;4,7;10,8
Abbadia S.Salvatore;15/11/2019;6,4;9,4
Abbadia S.Salvatore;16/11/2019;5,7;9,0
Abbadia S.Salvatore;17/11/2019;3,2;9,7
Abbadia S.Salvatore;18/11/2019;4,5;8,3
Abbadia S.Salvatore;19/11/2019;5,8;7,9
Abbadia S.Salvatore;20/11/2019;5,7;12,6
Abbadia S.Salvatore;21/11/2019;4,5;9,0
Abbadia S.Salvatore;22/11/2019;5,1;11,0
Abbadia S.Salvatore;23/11/2019;7,3;10,6
Abbadia S.Salvatore;24/11/2019;7,0;9,6
Abbadia S.Salvatore;25/11/2019;8,2;12,1
Abbadia S.Salvatore;26/11/2019;7,2;14,3
Abbadia S.Salvatore;27/11/2019;7,5;10,5
Abbadia S.Salvatore;28/11/2019;7,2;11,3
Abbadia S.Salvatore;29/11/2019;6,8;12,5
Abbadia S.Salvatore;30/11/2019;4,0;11,8
Abbazia Trisulti;01/11/2019;11,1;16,4
Abbazia Trisulti;02/11/2019;11,3;15,5
Abbazia Trisulti;03/11/2019;11,3;13,6
Abbazia Trisulti;04/11/2019;8,7;14,7
Abbazia Trisulti;05/11/2019;9,7;13,8
Abbazia Trisulti;06/11/2019;6,3;12,9
Abbazia Trisulti;07/11/2019;6,2;14,0
Abbazia Trisulti;08/11/2019;6,1;9,9
Abbazia Trisulti;09/11/2019;5,2;10,4
Abbazia Trisulti;10/11/2019;4,3;10,7
Abbazia Trisulti;11/11/2019;7,6;13,9
Abbazia Trisulti;12/11/2019;6,4;13,3
Abbazia Trisulti;13/11/2019;5,3;11,1
Abbazia Trisulti;14/11/2019;6,7;9,4
Abbazia Trisulti;15/11/2019;9,2;11,8
Abbazia Trisulti;16/11/2019;7,9;13,6
Abbazia Trisulti;17/11/2019;4,7;13,2
Abbazia Trisulti;18/11/2019;4,4;11,3
Abbazia Trisulti;19/11/2019;7,0;11,4
Abbazia Trisulti;20/11/2019;6,0;9,4
Abbazia Trisulti;21/11/2019;4,0;9,6
Abbazia Trisulti;22/11/2019;5,5;11,0
Abbazia Trisulti;23/11/2019;7,9;12,1
Abbazia Trisulti;24/11/2019;7,7;10,3
Abbazia Trisulti;25/11/2019;7,7;12,7
Abbazia Trisulti;26/11/2019;7,3;15,1
Abbazia Trisulti;27/11/2019;6,6;12,1
Abbazia Trisulti;28/11/2019;7,8;10,9
Abbazia Trisulti;29/11/2019;6,3;11,0
Abbazia Trisulti;30/11/2019;5,5;12,6
Acquapendente;01/11/2019;12,2;19,4
Acquapendente;02/11/2019;12,3;17,6
Acquapendente;03/11/2019;13,3;20,0
Acquapendente;04/11/2019;10,6;20,2
Acquapendente;05/11/2019;11,4;18,9
Acquapendente;06/11/2019;8,6;16,5
Acquapendente;07/11/2019;4,9;23,7
Acquapendente;08/11/2019;4,9;14,6
Acquapendente;09/11/2019;3,2;15,4
Acquapendente;10/11/2019;3,3;16,0
Acquapendente;11/11/2019;8,9;13,4
Acquapendente;12/11/2019;9,0;15,3
Acquapendente;13/11/2019;5,2;18,0
Acquapendente;14/11/2019;4,0;15,8
Acquapendente;15/11/2019;9,7;14,3
Acquapendente;16/11/2019;8,8;12,7
Acquapendente;17/11/2019;3,5;14,4
Acquapendente;18/11/2019;4,0;12,0
Acquapendente;19/11/2019;6,7;11,7
Acquapendente;20/11/2019;6,8;17,3
Acquapendente;21/11/2019;5,7;12,8
Acquapendente;22/11/2019;2,7;21,0
Acquapendente;23/11/2019;10,4;15,5
Acquapendente;24/11/2019;10,1;14,1
Acquapendente;25/11/2019;6,2;19,7
Acquapendente;26/11/2019;2,5;22,9
Acquapendente;27/11/2019;5,1;14,1
Acquapendente;28/11/2019;8,4;18,0
Acquapendente;29/11/2019;6,1;16,4
Acquapendente;30/11/2019;1,6;23,4
Allumiere;01/11/2019;12,4;17,4
Allumiere;02/11/2019;13,1;15,7
Allumiere;03/11/2019;12,7;17,5
Allumiere;04/11/2019;11,0;18,1
Allumiere;05/11/2019;12,7;16,5
Allumiere;06/11/2019;11,5;14,5
Allumiere;07/11/2019;8,0;16,7
Allumiere;08/11/2019;9,5;13,0
Allumiere;09/11/2019;6,7;13,1
Allumiere;10/11/2019;6,0;12,4
Allumiere;11/11/2019;8,4;11,0
Allumiere;12/11/2019;8,4;12,3
Allumiere;13/11/2019;8,4;14,4
Allumiere;14/11/2019;7,7;11,8
Allumiere;15/11/2019;8,5;13,7
Allumiere;16/11/2019;8,4;14,3
Allumiere;17/11/2019;6,5;14,6
Allumiere;18/11/2019;7,8;12,1
Allumiere;19/11/2019;7,8;10,7
Allumiere;20/11/2019;7,1;12,4
Allumiere;21/11/2019;7,3;10,6
Allumiere;22/11/2019;7,5;13,1
Allumiere;23/11/2019;9,7;14,0
Allumiere;24/11/2019;9,4;10,7
Allumiere;25/11/2019;9,1;16,6
Allumiere;26/11/2019;9,4;18,1
Allumiere;27/11/2019;9,8;13,3
Allumiere;28/11/2019;10,4;12,4
Allumiere;29/11/2019;8,3;12,7
Allumiere;30/11/2019;7,8;14,5
Amatrice;01/11/2019;8,2;14,2
Amatrice;02/11/2019;8,9;15,6
Amatrice;03/11/2019;10,5;16,9
Amatrice;04/11/2019;7,5;15,8
Amatrice;05/11/2019;9,1;17,2
Amatrice;06/11/2019;4,1;13,8
Amatrice;07/11/2019;0,7;15,4
Amatrice;08/11/2019;0,2;10,6
Amatrice;09/11/2019;1,7;11,9
Amatrice;10/11/2019;3,0;10,8
Amatrice;11/11/2019;4,2;12,7
Amatrice;12/11/2019;5,0;11,7
Amatrice;13/11/2019;3,2;11,5
Amatrice;14/11/2019;2,8;11,6
Amatrice;15/11/2019;5,9;14,7
Amatrice;16/11/2019;4,0;10,5
Amatrice;17/11/2019;3,5;13,2
Amatrice;18/11/2019;1,8;11,6
Amatrice;19/11/2019;1,0;9,1
Amatrice;20/11/2019;0,9;9,7
Amatrice;21/11/2019;0,6;10,1
Amatrice;22/11/2019;-1,8;12,1
Amatrice;23/11/2019;0,3;14,6
Amatrice;24/11/2019;4,9;11,8
Amatrice;25/11/2019;2,9;12,7
Amatrice;26/11/2019;-0,7;16,3
Amatrice;27/11/2019;1,2;13,5
Amatrice;28/11/2019;5,2;11,3
Amatrice;29/11/2019;4,2;12,9
Amatrice;30/11/2019;-2,0;13,1
Anzio;01/11/2019;15,3;19,7
Anzio;02/11/2019;15,0;20,4
Anzio;03/11/2019;15,9;21,6
Anzio;04/11/2019;17,5;20,6
Anzio;05/11/2019;16,9;21,5
Anzio;06/11/2019;11,9;19,0
Anzio;07/11/2019;11,6;19,3
Anzio;08/11/2019;12,1;17,6
Anzio;09/11/2019;9,5;15,9
Anzio;10/11/2019;9,4;16,0
Anzio;11/11/2019;11,6;17,7
Anzio;12/11/2019;11,6;16,7
Anzio;13/11/2019;10,9;17,3
Anzio;14/11/2019;10,9;17,8
Anzio;15/11/2019;15,7;18,8
Anzio;16/11/2019;12,9;19,7
Anzio;17/11/2019;12,6;19,3
Anzio;18/11/2019;10,0;17,2
Anzio;19/11/2019;12,7;17,7
Anzio;20/11/2019;10,9;16,4
Anzio;21/11/2019;10,4;13,2
Anzio;22/11/2019;10,8;15,6
Anzio;23/11/2019;13,8;18,5
Anzio;24/11/2019;12,9;16,2
Anzio;25/11/2019;12,0;17,6
Anzio;26/11/2019;11,4;17,0
Anzio;27/11/2019;12,3;17,7
Anzio;28/11/2019;15,6;17,6
Anzio;29/11/2019;14,8;18,2
Anzio;30/11/2019;11,1;17,0
Aprilia;01/11/2019;14,9;20,4
Aprilia;02/11/2019;14,7;20,2
Aprilia;03/11/2019;15,4;21,4
Aprilia;04/11/2019;13,7;20,4
Aprilia;05/11/2019;15,7;21,6
Aprilia;06/11/2019;11,4;18,3
Aprilia;07/11/2019;10,4;19,4
Aprilia;08/11/2019;10,3;16,0
Aprilia;09/11/2019;9,5;13,2
Aprilia;10/11/2019;8,7;16,4
Aprilia;11/11/2019;11,7;16,1
Aprilia;12/11/2019;11,5;17,2
Aprilia;13/11/2019;9,5;16,8
Aprilia;14/11/2019;10,9;15,4
Aprilia;15/11/2019;13,7;18,3
Aprilia;16/11/2019;12,5;18,9
Aprilia;17/11/2019;9,7;18,9
Aprilia;18/11/2019;9,0;15,4
Aprilia;19/11/2019;11,9;16,3
Aprilia;20/11/2019;10,0;15,9
Aprilia;21/11/2019;9,2;12,7
Aprilia;22/11/2019;9,0;16,2
Aprilia;23/11/2019;11,7;17,9
Aprilia;24/11/2019;12,0;13,9
Aprilia;25/11/2019;11,7;18,2
Aprilia;26/11/2019;9,4;18,6
Aprilia;27/11/2019;11,3;17,0
Aprilia;28/11/2019;13,7;17,2
Aprilia;29/11/2019;10,9;17,0
Aprilia;30/11/2019;9,3;17,2
Ardea;01/11/2019;15,1;22,7
Ardea;02/11/2019;12,9;23,3
Ardea;03/11/2019;16,4;24,1
Ardea;04/11/2019;12,4;21,5
Ardea;05/11/2019;17,0;23,8
Ardea;06/11/2019;10,4;20,5
Ardea;07/11/2019;7,3;22,2
Ardea;08/11/2019;7,5;16,7
Ardea;09/11/2019;6,7;15,9
Ardea;10/11/2019;6,6;18,4
Ardea;11/11/2019;12,1;14,8
Ardea;12/11/2019;11,8;15,9
