Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/10/2019;11,5;22,3
Abbadia S.Salvatore;02/10/2019;11,0;17,7
Abbadia S.Salvatore;03/10/2019;7,1;14,9
Abbadia S.Salvatore;04/10/2019;6,6;16,5
Abbadia S.Salvatore;05/10/2019;9,8;17,9
Abbadia S.Salvatore;06/10/2019;10,4;19,1
Abbadia S.Salvatore;07/10/2019;9,1;14,8
Abbadia S.Salvatore;08/10/2019;8,5;17,9
Abbadia S.Salvatore;09/10/2019;9,4;19,7
Abbadia S.Salvatore;10/10/2019;11,1;20,7
Abbadia S.Salvatore;11/10/2019;10,5;19,3
Abbadia S.Salvatore;12/10/2019;11,2;19,7
Abbadia S.Salvatore;13/10/2019;8,2;18,4
Abbadia S.Salvatore;14/10/2019;11,8;19,7
Abbadia S.Salvatore;15/10/2019;13,1;18,3
Abbadia S.Salvatore;16/10/2019;8,3;15,6
Abbadia S.Salvatore;17/10/2019;8,2;17,7
Abbadia S.Salvatore;18/10/2019;7,2;16,8
Abbadia S.Salvatore;19/10/2019;9,6;19,1
Abbadia S.Salvatore;20/10/2019;10,2;17,5
Abbadia S.Salvatore;21/10/2019;14,3;21,6
Abbadia S.Salvatore;22/10/2019;12,9;22,9
Abbadia S.Salvatore;23/10/2019;14,4;21,1
Abbadia S.Salvatore;24/10/2019;10,5;16,8
Abbadia S.Salvatore;25/10/2019;9,9;17,4
Abbadia S.Salvatore;26/10/2019;11,9;21,1
Abbadia S.Salvatore;27/10/2019;10,6;20,0
Abbadia S.Salvatore;28/10/2019;9,6;19,0
Abbadia S.Salvatore;29/10/2019;10,0;16,2
Abbadia S.Salvatore;30/10/2019;9,4;15,4
Abbadia S.Salvatore;31/10/2019;10,3;14,5
Abbazia Trisulti;01/10/2019;13,2;23,2
Abbazia Trisulti;02/10/2019;12,2;19,8
Abbazia Trisulti;03/10/2019;8,7;19,0
Abbazia Trisulti;04/10/2019;9,5;17,5
Abbazia Trisulti;05/10/2019;10,1;20,2
Abbazia Trisulti;06/10/2019;11,0;20,5
Abbazia Trisulti;07/10/2019;11,1;16,2
Abbazia Trisulti;08/10/2019;11,0;19,8
Abbazia Trisulti;09/10/2019;10,0;20,6
Abbazia Trisulti;10/10/2019;11,7;18,8
Abbazia Trisulti;11/10/2019;11,4;20,7
Abbazia Trisulti;12/10/2019;11,7;20,2
Abbazia Trisulti;13/10/2019;10,7;20,8
Abbazia Trisulti;14/10/2019;11,7;21,1
Abbazia Trisulti;15/10/2019;11,3;19,8
Abbazia Trisulti;16/10/2019;10,1;18,2
Abbazia Trisulti;17/10/2019;9,1;18,6
Abbazia Trisulti;18/10/2019;10,0;18,5
Abbazia Trisulti;19/10/2019;9,4;18,1
Abbazia Trisulti;20/10/2019;9,1;21,0
Abbazia Trisulti;21/10/2019;13,8;23,1
Abbazia Trisulti;22/10/2019;15,0;23,1
Abbazia Trisulti;23/10/2019;14,1;22,1
Abbazia Trisulti;24/10/2019;12,2;21,0
Abbazia Trisulti;25/10/2019;11,6;21,0
Abbazia Trisulti;26/10/2019;12,9;22,0
Abbazia Trisulti;27/10/2019;12,3;20,7
Abbazia Trisulti;28/10/2019;11,2;19,3
Abbazia Trisulti;29/10/2019;9,5;18,0
Abbazia Trisulti;30/10/2019;9,2;17,6
Abbazia Trisulti;31/10/2019;9,9;17,7
Acquapendente;01/10/2019;13,3;24,9
Acquapendente;02/10/2019;13,4;23,2
Acquapendente;03/10/2019;9,8;16,3
Acquapendente;04/10/2019;7,8;26,2
Acquapendente;05/10/2019;9,2;26,4
Acquapendente;06/10/2019;7,4;26,1
Acquapendente;07/10/2019;11,3;22,0
Acquapendente;08/10/2019;7,4;26,4
Acquapendente;09/10/2019;5,0;24,3
Acquapendente;10/10/2019;10,6;22,6
Acquapendente;11/10/2019;7,3;26,7
Acquapendente;12/10/2019;7,9;23,0
Acquapendente;13/10/2019;9,7;27,1
Acquapendente;14/10/2019;13,4;25,9
Acquapendente;15/10/2019;15,0;21,1
Acquapendente;16/10/2019;8,7;24,4
Acquapendente;17/10/2019;5,0;28,3
Acquapendente;18/10/2019;4,4;24,6
Acquapendente;19/10/2019;9,2;22,6
Acquapendente;20/10/2019;8,7;21,5
Acquapendente;21/10/2019;10,1;24,7
Acquapendente;22/10/2019;8,3;30,0
Acquapendente;23/10/2019;7,6;26,0
Acquapendente;24/10/2019;8,3;22,2
Acquapendente;25/10/2019;12,1;25,8
Acquapendente;26/10/2019;8,5;30,9
Acquapendente;27/10/2019;6,0;30,9
Acquapendente;28/10/2019;6,4;29,7
Acquapendente;29/10/2019;7,6;20,4
Acquapendente;30/10/2019;12,1;22,4
Acquapendente;31/10/2019;11,1;19,9
Allumiere;01/10/2019;17,0;22,2
Allumiere;02/10/2019;15,4;20,9
Allumiere;03/10/2019;9,6;18,1
Allumiere;04/10/2019;8,9;19,5
Allumiere;05/10/2019;13,1;22,8
Allumiere;06/10/2019;12,7;20,8
Allumiere;07/10/2019;11,7;19,2
Allumiere;08/10/2019;10,7;22,5
Allumiere;09/10/2019;13,5;20,5
Allumiere;10/10/2019;14,1;20,5
Allumiere;11/10/2019;13,6;23,4
Allumiere;12/10/2019;13,2;21,3
Allumiere;13/10/2019;12,7;23,7
Allumiere;14/10/2019;15,3;22,8
Allumiere;15/10/2019;14,1;18,4
Allumiere;16/10/2019;12,8;20,9
Allumiere;17/10/2019;11,1;20,4
Allumiere;18/10/2019;11,8;19,5
Allumiere;19/10/2019;12,5;19,3
Allumiere;20/10/2019;13,2;20,3
Allumiere;21/10/2019;15,6;23,4
Allumiere;22/10/2019;15,8;26,8
Allumiere;23/10/2019;15,1;23,7
Allumiere;24/10/2019;12,4;20,0
Allumiere;25/10/2019;12,1;21,6
Allumiere;26/10/2019;13,6;24,1
Allumiere;27/10/2019;13,6;23,1
Allumiere;28/10/2019;12,7;22,0
Allumiere;29/10/2019;12,1;19,9
Allumiere;30/10/2019;12,3;20,1
Allumiere;31/10/2019;12,7;17,7
Amatrice;01/10/2019;7,6;24,4
Amatrice;02/10/2019;8,4;22,1
Amatrice;03/10/2019;5,4;14,2
Amatrice;04/10/2019;0,7;17,8
Amatrice;05/10/2019;5,2;19,0
Amatrice;06/10/2019;3,4;20,7
Amatrice;07/10/2019;4,9;15,0
Amatrice;08/10/2019;2,0;18,3
Amatrice;09/10/2019;3,2;21,3
Amatrice;10/10/2019;6,5;21,9
Amatrice;11/10/2019;4,0;21,5
Amatrice;12/10/2019;4,2;22,5
Amatrice;13/10/2019;3,7;23,4
Amatrice;14/10/2019;4,9;22,3
Amatrice;15/10/2019;4,7;20,4
Amatrice;16/10/2019;4,9;19,8
Amatrice;17/10/2019;2,3;20,5
Amatrice;18/10/2019;1,9;20,4
Amatrice;19/10/2019;2,5;20,6
Amatrice;20/10/2019;1,3;22,3
Amatrice;21/10/2019;6,2;24,3
