Stazione;Data;Dato pluviometrico giornaliero 0-24
Pomezia ;01/04/2020;0
Pomezia ;02/04/2020;0
Pomezia ;03/04/2020;0
Pomezia ;04/04/2020;0
Pomezia ;05/04/2020;0
Pomezia ;06/04/2020;0
Pomezia ;07/04/2020;0
Pomezia ;08/04/2020;0
Pomezia ;09/04/2020;0
Pomezia ;10/04/2020;0
Pomezia ;11/04/2020;0
Pomezia ;12/04/2020;0
Pomezia ;13/04/2020;0
Pomezia ;14/04/2020;4,4
Pomezia ;15/04/2020;0
Pomezia ;16/04/2020;0
Pomezia ;17/04/2020;0
Pomezia ;18/04/2020;0
Pomezia ;19/04/2020;0
Pomezia ;20/04/2020;15
Pomezia ;21/04/2020;0,2
Pomezia ;22/04/2020;11
Pomezia ;23/04/2020;0,2
Pomezia ;24/04/2020;0
Pomezia ;25/04/2020;0
Pomezia ;26/04/2020;0
Pomezia ;27/04/2020;0,2
Pomezia ;28/04/2020;0
Pomezia ;29/04/2020;0
Pomezia ;30/04/2020;0
