Stazione,Data,Dato pluviometrico giornaliero 0-24
Pomezia ,01/02/2020,0
Pomezia ,02/02/2020,0
Pomezia ,03/02/2020,0
Pomezia ,04/02/2020,0
Pomezia ,05/02/2020,0
Pomezia ,06/02/2020,0
Pomezia ,07/02/2020,0
Pomezia ,08/02/2020,0
Pomezia ,09/02/2020,1,2
Pomezia ,10/02/2020,0,4
Pomezia ,11/02/2020,0
Pomezia ,12/02/2020,0
Pomezia ,13/02/2020,0
Pomezia ,14/02/2020,0,4
Pomezia ,15/02/2020,0
Pomezia ,16/02/2020,0
Pomezia ,17/02/2020,0
Pomezia ,18/02/2020,0,2
Pomezia ,19/02/2020,3,4
Pomezia ,20/02/2020,0
Pomezia ,21/02/2020,0
Pomezia ,22/02/2020,0
Pomezia ,23/02/2020,0
Pomezia ,24/02/2020,0
Pomezia ,25/02/2020,0
Pomezia ,26/02/2020,2,2
Pomezia ,27/02/2020,1,2
Pomezia ,28/02/2020,0
Pomezia ,29/02/2020,0
