Stazione,Data,Dato pluviometrico giornaliero 0-24
Pomezia ,01/01/2020,0
Pomezia ,02/01/2020,0
Pomezia ,03/01/2020,0
Pomezia ,04/01/2020,0
Pomezia ,05/01/2020,0
Pomezia ,06/01/2020,0
Pomezia ,07/01/2020,0
Pomezia ,08/01/2020,0
Pomezia ,09/01/2020,0
Pomezia ,10/01/2020,0
Pomezia ,11/01/2020,0
Pomezia ,12/01/2020,0
Pomezia ,13/01/2020,0
Pomezia ,14/01/2020,0
Pomezia ,15/01/2020,0
Pomezia ,16/01/2020,0
Pomezia ,17/01/2020,0
Pomezia ,18/01/2020,14,6
Pomezia ,19/01/2020,0
Pomezia ,20/01/2020,0
Pomezia ,21/01/2020,0
Pomezia ,22/01/2020,0
Pomezia ,23/01/2020,0,2
Pomezia ,24/01/2020,0
Pomezia ,25/01/2020,3,4
Pomezia ,26/01/2020,0
Pomezia ,27/01/2020,5
Pomezia ,28/01/2020,1,6
Pomezia ,29/01/2020,0
Pomezia ,30/01/2020,0
Pomezia ,31/01/2020,0
