Stazione,Data,Dato pluviometrico giornaliero 0-24
Pomezia ,01/03/2020,5,7
Pomezia ,02/03/2020,5,4
Pomezia ,03/03/2020,0
Pomezia ,04/03/2020,0
Pomezia ,05/03/2020,0
Pomezia ,06/03/2020,4,4
Pomezia ,07/03/2020,0
Pomezia ,08/03/2020,0
Pomezia ,09/03/2020,5,4
Pomezia ,10/03/2020,0
Pomezia ,11/03/2020,0
Pomezia ,12/03/2020,0
Pomezia ,13/03/2020,0
Pomezia ,14/03/2020,0
Pomezia ,15/03/2020,0
Pomezia ,16/03/2020,0
Pomezia ,17/03/2020,0
Pomezia ,18/03/2020,0
Pomezia ,19/03/2020,0
Pomezia ,20/03/2020,0
Pomezia ,21/03/2020,0
Pomezia ,22/03/2020,2,6
Pomezia ,23/03/2020,0
Pomezia ,24/03/2020,0
Pomezia ,25/03/2020,2,4
Pomezia ,26/03/2020,22,6
Pomezia ,27/03/2020,1,6
Pomezia ,28/03/2020,2,4
Pomezia ,29/03/2020,0
Pomezia ,30/03/2020,0
Pomezia ,31/03/2020,0
