Stazione;Data;Dato pluviometrico giornaliero 0-24
Pomezia ;01/11/2019;22,1
Pomezia ;02/11/2019;12,1
Pomezia ;03/11/2019;13,2
Pomezia ;04/11/2019;0,6
Pomezia ;05/11/2019;5
Pomezia ;06/11/2019;4,9
Pomezia ;07/11/2019;0
Pomezia ;08/11/2019;14,1
Pomezia ;09/11/2019;5,2
Pomezia ;10/11/2019;5,6
Pomezia ;11/11/2019;66,5
Pomezia ;12/11/2019;7
Pomezia ;13/11/2019;2,4
Pomezia ;14/11/2019;2
Pomezia ;15/11/2019;40,7
Pomezia ;16/11/2019;1,6
Pomezia ;17/11/2019;11,8
Pomezia ;18/11/2019;16,7
Pomezia ;19/11/2019;4,7
Pomezia ;20/11/2019;5,6
Pomezia ;21/11/2019;9,4
Pomezia ;22/11/2019;2,8
Pomezia ;23/11/2019;26,8
Pomezia ;24/11/2019;26
Pomezia ;25/11/2019;0,2
Pomezia ;26/11/2019;0
Pomezia ;27/11/2019;9,2
Pomezia ;28/11/2019;0,2
Pomezia ;29/11/2019;0
Pomezia ;30/11/2019;0
