Stazione,Data,Dato_pluviometrico_giornaliero
Pomezia ,01/10/2019,0.2
Pomezia ,02/10/2019,2.6
Pomezia ,03/10/2019,1.8
Pomezia ,04/10/2019,0
Pomezia ,05/10/2019,0.2
Pomezia ,06/10/2019,0
Pomezia ,07/10/2019,7.2
Pomezia ,08/10/2019,0
Pomezia ,09/10/2019,0
Pomezia ,10/10/2019,0
Pomezia ,11/10/2019,0
Pomezia ,12/10/2019,0
Pomezia ,13/10/2019,0
Pomezia ,14/10/2019,0
Pomezia ,15/10/2019,3.2
Pomezia ,16/10/2019,0.2
Pomezia ,17/10/2019,0
Pomezia ,18/10/2019,0
Pomezia ,19/10/2019,0
Pomezia ,20/10/2019,0
Pomezia ,21/10/2019,0
Pomezia ,22/10/2019,0
Pomezia ,23/10/2019,0
Pomezia ,24/10/2019,20.5
Pomezia ,25/10/2019,0
Pomezia ,26/10/2019,0
Pomezia ,27/10/2019,0
Pomezia ,28/10/2019,0
Pomezia ,29/10/2019,0
Pomezia ,30/10/2019,0
Pomezia ,31/10/2019,17.7
Pomezia ,01/11/2019,22.1
Pomezia ,02/11/2019,12.1
Pomezia ,03/11/2019,13.2
Pomezia ,04/11/2019,0.6
Pomezia ,05/11/2019,5
Pomezia ,06/11/2019,4.9
Pomezia ,07/11/2019,0
Pomezia ,08/11/2019,14.1
Pomezia ,09/11/2019,5.2
Pomezia ,10/11/2019,5.6
Pomezia ,11/11/2019,66.5
Pomezia ,12/11/2019,7
Pomezia ,13/11/2019,2.4
Pomezia ,14/11/2019,2
Pomezia ,15/11/2019,40.7
Pomezia ,16/11/2019,1.6
Pomezia ,17/11/2019,11.8
Pomezia ,18/11/2019,16.7
Pomezia ,19/11/2019,4.7
Pomezia ,20/11/2019,5.6
Pomezia ,21/11/2019,9.4
Pomezia ,22/11/2019,2.8
Pomezia ,23/11/2019,26.8
Pomezia ,24/11/2019,26
Pomezia ,25/11/2019,0.2
Pomezia ,26/11/2019,0
Pomezia ,27/11/2019,9.2
Pomezia ,28/11/2019,0.2
Pomezia ,29/11/2019,0
Pomezia ,30/11/2019,0
Pomezia ,01/12/2019,0
Pomezia ,02/12/2019,16.4
Pomezia ,03/12/2019,0.4
Pomezia ,04/12/2019,0
Pomezia ,05/12/2019,0
Pomezia ,06/12/2019,0.4
Pomezia ,07/12/2019,1.2
Pomezia ,08/12/2019,0.4
Pomezia ,09/12/2019,2.4
Pomezia ,10/12/2019,0
Pomezia ,11/12/2019,0
Pomezia ,12/12/2019,2.4
Pomezia ,13/12/2019,18.7
Pomezia ,14/12/2019,0
