Stazioni;Data;T-MIN;T-MAX
Pomezia;01/12/2019;9,4;17,6
Pomezia;02/12/2019;13,2;16,9
Pomezia;03/12/2019;9;15,7
Pomezia;04/12/2019;5,6;14,8
Pomezia;05/12/2019;7,3;17,3
Pomezia;06/12/2019;8,9;17,7
Pomezia;07/12/2019;10,9;17
Pomezia;08/12/2019;10,9;17,2
Pomezia;09/12/2019;10,1;15,9
Pomezia;10/12/2019;6,9;15,1
Pomezia;11/12/2019;5,9;13,5
Pomezia;12/12/2019;4,9;13,3
Pomezia;13/12/2019;4,5;15,3
Pomezia;14/12/2019;6,2;15,3
Pomezia;15/12/2019;8,2;18,4
Pomezia;16/12/2019;11,9;17,7
Pomezia;17/12/2019;13;18,1
Pomezia;18/12/2019;13,3;18,5
Pomezia;19/12/2019;10,2;16,5
Pomezia;20/12/2019;8;15,4
Pomezia;21/12/2019;11,6;17,7
Pomezia;22/12/2019;12,2;16,5
Pomezia;23/12/2019;9,6;16,4
Pomezia;24/12/2019;6,9;15,5
Pomezia;25/12/2019;7,5;16,8
Pomezia;26/12/2019;5,9;16,6
Pomezia;27/12/2019;6,9;15,1
Pomezia;28/12/2019;4,6;12,8
Pomezia;29/12/2019;3,3;11,1
Pomezia;30/12/2019;3,1;11,2
Pomezia;31/12/2019;2,4;12,1
