Stazioni;Data;T-MIN;T-MAX
Pomezia;01/10/2019;19,5;26,6
Pomezia;02/10/2019;17,5;25,9
Pomezia;03/10/2019;13,7;24,1
Pomezia;04/10/2019;12,1;24,1
Pomezia;05/10/2019;14,9;25,1
Pomezia;06/10/2019;14,8;24,7
Pomezia;07/10/2019;15,2;22,7
Pomezia;08/10/2019;13,4;24,1
Pomezia;09/10/2019;14,7;24,3
Pomezia;10/10/2019;15,9;24,1
Pomezia;11/10/2019;15,7;26,0
Pomezia;12/10/2019;15,2;24,4
Pomezia;13/10/2019;15,2;25,4
Pomezia;14/10/2019;16,8;25,1
Pomezia;15/10/2019;16,7;22,3
Pomezia;16/10/2019;14,3;23,0
Pomezia;17/10/2019;13,7;23,3
Pomezia;18/10/2019;13,7;23,6
Pomezia;19/10/2019;13,8;22,9
Pomezia;20/10/2019;15,1;25,1
Pomezia;21/10/2019;17,9;27,4
Pomezia;22/10/2019;16,9;28,6
Pomezia;23/10/2019;16,7;27,9
Pomezia;24/10/2019;15,6;25,2
Pomezia;25/10/2019;15,5;25,7
Pomezia;26/10/2019;16,2;26,9
Pomezia;27/10/2019;14,1;24,8
Pomezia;28/10/2019;13,9;23,8
Pomezia;29/10/2019;14,5;22,3
Pomezia;30/10/2019;14,3;23,0
Pomezia;31/10/2019;14,6;24,1
