Stazione,Data,Dato_pluviometrico_giornaliero	,T-MIN,T-MAX	,Giorno_della_settimana,Alba,Tramonto,Lunghezza_giorno
Pomezia,2019/10/20,0	,15.1,25.1	,domenica,07:28,18:20,10:52
Pomezia,2019/10/21,0	,17.9,27.4	,lunedì,07:29,18:19,10:49
Pomezia,2019/10/22,0	,16.9,28.6	,martedì,07:30,18:17,10:46
Pomezia,2019/10/23,0	,16.7,27.9	,mercoledì,07:32,18:16,10:44
Pomezia,2019/10/24,20.5	,15.6,25.2	,giovedì,07:33,18:14,10:41
Pomezia,2019/10/25,0	,15.5,25.7	,venerdì,07:34,18:13,10:38
Pomezia,2019/10/26,0	,16.2,26.9	,sabato,07:35,18:11,10:36
Pomezia,2019/10/27,0	,14.1,24.8	,domenica,06:36,17:10,10:33
Pomezia,2019/10/28,0	,13.9,23.8	,lunedì,06:37,17:09,10:31
Pomezia,2019/10/29,0	,14.5,22.3	,martedì,06:39,17:07,10:28
Pomezia,2019/10/30,0	,14.3,23.0	,mercoledì,06:40,17:06,10:26
Pomezia,2019/10/31,17.7	,14.6,24.1	,giovedì,06:41,17:05,10:23
Pomezia,2019/11/01,22.1	,15.2,21.3	,venerdì,06:42,17:03,10:21
Pomezia,2019/11/02,12.1	,14.4,21.6	,sabato,06:44,17:02,10:18
Pomezia,2019/11/03,13.2	,16.1,22.1	,domenica,06:45,17:01,10:16
Pomezia,2019/11/04,0.6	,12.8,21.1	,lunedì,06:46,17:00,10:13
Pomezia,2019/11/05,5	,16.1,22.5	,martedì,06:47,16:59,10:11
Pomezia,2019/11/06,4.9	,11.6,19.1	,mercoledì,06:48,16:57,10:09
Pomezia,2019/11/07,0	,10.4,20.6	,giovedì,06:50,16:56,10:06
Pomezia,2019/11/08,14.1	,10.9,16.7	,venerdì,06:51,16:55,10:04
Pomezia,2019/11/09,5.2	,9.4,15.4	,sabato,06:52,16:54,10:02
Pomezia,2019/11/10,5.6	,9.0,17.5	,domenica,06:53,16:53,09:59
Pomezia,2019/11/11,66.5	,11.7,14.5	,lunedì,06:55,16:52,09:57
Pomezia,2019/11/12,7	,11.6,15.5	,martedì,06:56,16:51,09:55
Pomezia,2019/11/13,2.4	,10.3,16.9	,mercoledì,06:57,16:50,09:53
Pomezia,2019/11/14,2	,11.2,16.9	,giovedì,06:58,16:49,09:50
Pomezia,2019/11/15,40.7	,13.9,18.5	,venerdì,06:59,16:48,09:48
Pomezia,2019/11/16,1.6	,13.0,19.1	,sabato,07:01,16:47,09:46
Pomezia,2019/11/17,11.8	,9.5,19.0	,domenica,07:02,16:47,09:44
Pomezia,2019/11/18,16.7	,9.0,16.5	,lunedì,07:03,16:46,09:42
Pomezia,2019/11/19,4.7	,11.7,16.6	,martedì,07:04,16:45,09:40
Pomezia,2019/11/20,5.6	,10.0,16.4	,mercoledì,07:05,16:44,09:38
Pomezia,2019/11/21,9.4	,9.7,13.9	,giovedì,07:07,16:44,09:36
Pomezia,2019/11/22,2.8	,10.1,17.2	,venerdì,07:08,16:43,09:35
Pomezia,2019/11/23,26.8	,12.8,18.4	,sabato,07:09,16:42,09:33
