data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
25/11/19,05:28:30,73,15,23,35,89,64,0.08595988538681948,lunedì,07:11:00,16:41:00,09:29:00,11.2,18.7,0.2
26/11/19,05:29:00,75,17,22,36,81,63,0.08719346049046321,martedì,07:12:00,16:41:00,09:28:00,10.4,19.4,0.0
28/11/19,05:24:00,74,19,22,33,59,61,0.08571428571428572,giovedì,07:15:00,16:40:00,09:25:00,14.2,17.7,0.2
29/11/19,05:48:00,77,20,20,37,66,61,0.06692913385826772,venerdì,07:16:00,16:39:00,09:23:00,11.6,17.6,0.0
03/12/19,05:47:30,81,22,22,37,99,63,0.07722007722007722,martedì,07:20:00,16:38:00,09:18:00,9.0,15.7,0.4
04/12/19,05:42:00,80,21,22,37,94,63,0.08897742363877822,mercoledì,07:21:00,16:38:00,09:16:00,5.6,14.8,0.0
05/12/19,05:28:00,77,17,24,36,73,64,0.06751054852320675,giovedì,07:22:00,16:38:00,09:15:00,7.3,17.3,0.0
06/12/19,05:38:30,77,18,23,36,80,64,0.0847457627118644,venerdì,07:23:00,16:38:00,09:14:00,8.9,17.7,0.4
07/12/19,08:13:30,85,21,22,42,123,64,0.08891108891108891,sabato,07:24:00,16:38:00,09:13:00,10.9,17.0,1.2
08/12/19,09:07:00,77,19,19,39,85,64,0.09559613319011816,domenica,07:25:00,16:38:00,09:12:00,10.9,17.2,0.4
09/12/19,05:44:30,71,18,22,31,68,64,0.08345752608047691,lunedì,07:26:00,16:38:00,09:11:00,10.1,15.9,2.4
10/12/19,05:40:00,79,21,21,37,114,65,0.08597883597883597,martedì,07:27:00,16:38:00,09:10:00,6.9,15.1,0.0
11/12/19,05:46:00,74,17,22,35,70,65,0.08683853459972862,mercoledì,07:27:00,16:38:00,09:10:00,5.9,13.5,0.0
12/12/19,06:18:30,77,18,23,36,95,64,0.08543922984356198,giovedì,07:28:00,16:38:00,09:09:00,4.9,13.3,2.4
13/12/19,06:23:30,68,18,22,28,84,64,0.091324200913242,venerdì,07:29:00,16:38:00,09:08:00,4.5,15.3,18.7
14/12/19,06:29:30,78,18,24,36,89,64,0.06649282920469361,sabato,07:30:00,16:38:00,09:08:00,6.2,15.3,0.0
15/12/19,06:22:00,80,22,22,36,99,64,0.09115646258503401,domenica,07:31:00,16:38:00,09:07:00,8.2,18.4,0.0
16/12/19,05:47:30,67,16,22,29,67,64,0.09346991037131883,lunedì,07:31:00,16:39:00,09:07:00,11.9,17.7,0.0
17/12/19,06:39:30,70,18,14,38,101,64,0.08805790108564536,martedì,07:32:00,16:39:00,09:06:00,13.0,18.1,0.0
18/12/19,05:44:30,82,22,23,37,98,65,0.06684141546526867,mercoledì,07:33:00,16:39:00,09:06:00,13.3,18.5,0.0
