data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
28/01/20,05:39:00,71,19,22,30,78,65,0.09198423127463863,martedì,07:27:00,17:18:00,09:50:00,8.7,13.8,1.6
30/01/20,05:29:00,76,18,23,35,79,64,0.08390646492434663,giovedì,07:26:00,17:20:00,09:54:00,6.7,15.9,0.0
31/01/20,05:43:30,80,21,23,36,65,64,0.07450980392156863,venerdì,07:25:00,17:22:00,09:57:00,10.2,14.4,0.0
01/02/20,08:42:00,77,21,21,35,63,63,0.07127882599580712,sabato,07:24:00,17:23:00,09:59:00,11.1,15.1,0.0
03/02/20,05:28:00,74,19,23,32,81,66,0.07378335949764521,lunedì,07:22:00,17:26:00,10:03:00,10.0,18.3,0.0
04/02/20,05:28:30,81,22,22,37,90,66,0.08935611038107753,martedì,07:20:00,17:27:00,10:06:00,8.0,18.2,0.0
05/02/20,05:28:30,81,22,22,37,103,65,0.07238605898123325,mercoledì,07:19:00,17:28:00,10:08:00,4.4,13.5,0.0
06/02/20,05:29:00,76,19,22,35,57,66,0.09694555112881806,giovedì,07:18:00,17:29:00,10:11:00,4.8,13.6,0.0
07/02/20,05:29:00,75,17,23,35,83,66,0.07254623044096728,venerdì,07:17:00,17:31:00,10:13:00,3.3,14.8,0.0
08/02/20,09:02:00,88,24,20,44,136,67,0.09176984705025491,sabato,07:16:00,17:32:00,10:16:00,2.9,15.3,0.0
09/02/20,09:37:00,94,25,23,46,163,68,0.08224299065420561,domenica,07:15:00,17:33:00,10:18:00,5.9,16.1,1.2
10/02/20,05:29:00,72,17,20,35,88,69,0.08321579689703808,lunedì,07:14:00,17:35:00,10:20:00,9.0,13.8,0.4
11/02/20,05:25:30,73,17,22,34,105,68,0.08085106382978724,martedì,07:12:00,17:36:00,10:23:00,10.2,18.7,0.0
12/02/20,05:29:00,82,22,23,37,87,65,0.06786703601108034,mercoledì,07:11:00,17:37:00,10:26:00,7.8,17.9,0.0
13/02/20,05:28:30,78,21,21,36,80,63,0.08767123287671233,giovedì,07:10:00,17:38:00,10:28:00,7.0,15.7,0.0
14/02/20,05:49:00,80,22,23,35,99,64,0.0796221322537112,venerdì,07:08:00,17:40:00,10:31:00,10.6,18.4,0.4
15/02/20,08:30:30,88,25,21,42,155,62,0.09300095877277086,sabato,07:07:00,17:41:00,10:33:00,7.8,17.5,0.0
16/02/20,08:44:30,85,22,22,41,97,63,0.09161041465766634,domenica,07:06:00,17:42:00,10:36:00,5.7,16.5,0.0
17/02/20,07:32:30,83,23,21,39,123,64,0.10032017075773746,lunedì,07:04:00,17:43:00,10:39:00,6.5,16.7,0.0
18/02/20,05:28:00,73,17,23,33,87,64,0.06954102920723226,martedì,07:03:00,17:45:00,10:41:00,7.9,15.2,0.2
19/02/20,05:23:00,73,19,23,31,86,63,0.07729468599033816,mercoledì,07:02:00,17:46:00,10:44:00,8.5,14.4,3.4
